team,current_elo,avg_elo_last20,elo_trend_5,elo_trend_10,wins_last20,draws_last20,losses_last20,win_rate_last20,goals_for_avg_last20,goals_against_avg_last20,goal_diff_avg_last20,clean_sheet_rate,wc_appearances,knockout_appearances,quarter_finals,semi_finals,finals,titles,deep_run_score,title_conversion_rate,knockout_matches,knockout_wins,knockout_losses,knockout_win_rate,knockout_goal_diff_avg,penalty_match_rate,shootouts_played,shootouts_won,shootout_win_rate,penalty_strength,penalty_experience
Croatia,1761.0019464814277,1759.6465580657714,20.88899078042209,21.962785191833518,12,3,5,0.6,2.05,1.05,1.0,0.35,3.0,2.0,2.0,2.0,1.0,0.0,9.0,0.0,7.0,5.0,2.0,0.7142857142857143,-0.5714285714285714,0.5714285714285714,4.0,4.0,1.0,0.667,1.6094379124341003
Curaçao,1530.9093766228618,1538.0428117122287,45.94746043371947,27.021883309390887,9,6,5,0.45,2.0,1.05,0.95,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Czech Republic,1649.6320203119585,1636.9490259196268,27.648703526276222,19.57710661997021,11,6,3,0.55,2.0,1.15,0.85,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DR Congo,1663.4702367112056,1627.8117750360877,74.88000381580105,51.32253176041149,12,3,5,0.6,1.35,0.65,0.7,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ecuador,1738.2635529575662,1701.349296123163,49.61571885349599,27.766515673435606,8,11,1,0.4,1.0,0.35,0.65,0.65,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Egypt,1729.003182858722,1719.5399958855571,-22.283232182789334,-13.52883011229278,9,7,4,0.45,1.2,0.75,0.45,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
England,1780.4565076520432,1769.9633389089613,27.8120021826403,16.67743849707108,16,1,3,0.8,2.35,0.4,1.95,0.75,4.0,3.0,2.0,1.0,0.0,0.0,4.0,0.0,6.0,3.0,3.0,0.5,0.0,0.16666666666666666,1.0,1.0,1.0,0.333,0.6931471805599453
France,1833.888567002,1825.3473582137426,13.576323976301637,10.39464595709046,14,2,4,0.7,2.25,1.1,1.15,0.35,4.0,3.0,3.0,2.0,2.0,1.0,18.0,0.5,10.0,8.0,2.0,0.8,1.2,0.1,1.0,0.0,0.0,0.0,0.6931471805599453
Germany,1757.3206716913148,1733.181880601147,7.208526491417842,-14.835316406570882,14,3,3,0.7,2.6,1.0,1.6,0.4,4.0,2.0,2.0,2.0,1.0,1.0,14.0,1.0,7.0,6.0,1.0,0.8571428571428571,2.142857142857143,0.0,0.0,0.0,0.0,0.0,0.0
Ghana,1545.3918645139574,1559.4136157292915,-6.398886066263685,8.171965915224519,6,5,9,0.3,1.35,1.15,0.2,0.35,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.5,0.5,0.5,1.0,0.0,0.0,0.0,0.6931471805599453
Haiti,1606.168690025747,1615.318663262454,-20.188918665137635,-29.44339295971031,10,4,6,0.5,2.25,1.15,1.1,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iran,1747.7975305750465,1777.405157194491,-32.29082332163421,-24.946176861745244,12,5,3,0.6,1.85,0.75,1.1,0.55,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iraq,1673.7329796455474,1653.8960636329607,5.581244575186474,14.55447637141333,9,4,7,0.45,1.0,1.1,-0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ivory Coast,1715.0732376608876,1690.5511542231393,11.170410313856792,7.954024170369621,13,3,4,0.65,1.8,0.5,1.3,0.65,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Japan,1813.5777509073184,1795.802466053802,-2.7051049688775493,-15.595327313790449,14,4,2,0.7,2.4,0.45,1.95,0.7,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,-0.3333333333333333,0.6666666666666666,2.0,0.0,0.0,0.0,1.0986122886681098
Jordan,1614.5523169010562,1623.5712820746735,-18.531533754543943,-18.374638556695572,7,4,9,0.35,1.5,1.5,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mexico,1745.8796722824752,1713.1803288257283,34.69512249607169,11.87630537840164,11,7,2,0.55,1.45,0.7,0.75,0.6,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,-1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0
Morocco,1863.5613134014827,1845.6341062714444,24.131440098875828,13.026081447085062,15,5,0,0.75,2.05,0.35,1.7,0.7,2.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,3.0,2.0,1.0,0.6666666666666666,-0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.333,0.6931471805599453
Netherlands,1770.5164449238082,1774.3669823554494,-2.0709261236752354,4.135045405679193,10,8,2,0.5,2.5,1.0,1.5,0.3,3.0,3.0,3.0,2.0,1.0,0.0,10.0,0.0,9.0,6.0,3.0,0.6666666666666666,0.5555555555555556,0.3333333333333333,3.0,1.0,0.33,0.2,1.3862943611198906
New Zealand,1548.5326696967577,1581.4171325888879,2.8273943369736116,-5.395369488623146,8,2,10,0.4,2.15,1.25,0.9,0.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Norway,1709.6798123260808,1668.3354072651887,81.01663072051042,59.77497354299862,14,4,2,0.7,2.95,0.85,2.1,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Panama,1651.265945864656,1636.6496725721809,27.58180006782436,15.86877896237229,10,7,3,0.5,1.85,1.15,0.7,0.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paraguay,1623.776980936409,1578.5127214916495,104.01582162131058,71.18636970375974,9,6,5,0.45,1.25,0.9,0.35,0.45,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.5,-0.5,0.5,1.0,1.0,1.0,0.333,0.6931471805599453
Portugal,1792.7666035206296,1793.2967945659427,-15.922078960339377,-1.6680297824700574,13,5,2,0.65,2.4,1.0,1.4,0.25,4.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,3.0,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Qatar,1523.1134176938224,1594.7891524334061,-87.39992865795011,-53.30632173957656,4,7,9,0.2,1.1,1.75,-0.65,0.15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saudi Arabia,1601.2789268714848,1616.5467110310267,3.6474335224036167,13.49539418106906,8,4,8,0.4,1.05,1.15,-0.1,0.25,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scotland,1598.9425953657865,1585.7712603249106,28.939781574668814,15.918217212853733,10,2,8,0.5,1.7,1.2,0.5,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Senegal,1788.2075205431315,1789.0351823850683,32.187235032951094,17.684106062110686,14,3,3,0.7,2.35,0.75,1.6,0.55,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0
South Africa,1628.5496390173164,1655.2547040637996,-6.970463968978947,0.8398813371466076,10,6,4,0.5,1.45,0.75,0.7,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Korea,1737.3369939638585,1742.4855922209438,18.960650247246804,14.854292480511731,12,5,3,0.6,1.75,0.95,0.8,0.5,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
Spain,1874.829201136572,1876.66903100944,23.00406091749028,17.024332272796755,13,7,0,0.65,2.65,0.95,1.7,0.5,4.0,3.0,1.0,1.0,1.0,1.0,11.0,1.0,6.0,4.0,2.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,2.0,0.0,0.0,0.0,1.0986122886681098
Sweden,1602.7303862892686,1627.445072390084,-21.449103292624613,-11.49639740944258,10,4,6,0.5,2.15,1.45,0.7,0.2,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0
Switzerland,1683.3070894843745,1654.9093081983672,27.682551749701815,37.889060839477224,8,7,5,0.4,2.0,1.3,0.7,0.3,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,-2.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0
Tunisia,1653.4271085758828,1673.5378330967335,-8.416632527966613,-12.09076467799764,9,6,5,0.45,1.65,1.05,0.6,0.4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Turkey,1714.874483849948,1669.4361445683244,46.31017483487426,28.0424343993775,14,3,3,0.7,2.1,1.1,1.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United States,1706.0220240494486,1671.9670465238228,38.634439144097996,22.356481260461123,9,2,9,0.45,1.65,1.6,0.05,0.15,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,-1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
Uruguay,1709.2766249046244,1721.4464880671646,-38.03064002415567,-27.36167801449983,5,11,4,0.25,0.85,0.85,0.0,0.5,4.0,3.0,2.0,1.0,0.0,0.0,4.0,0.0,7.0,3.0,4.0,0.42857142857142855,-0.5714285714285714,0.14285714285714285,1.0,1.0,1.0,0.333,0.6931471805599453
Uzbekistan,1706.828874365828,1720.7306861481018,6.700036108466975,7.106714806758191,9,7,4,0.45,1.25,0.8,0.45,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
